time;latitude;longitude;depth;mag;magType;nst;gap;dmin;rms;net;id;updated;place;type;horizontalError;depthError;magError;magNst;status;locationSource;magSource
2021-11-17T03:30:34.980Z;-3.5754;101.5892;59.84;5;mb;;69;1.57;0.93;us;us7000fuqy;2022-01-22T20:51:57.040Z;79 km WNW of Bengkulu, Indonesia;earthquake;4.2;6.5;0.072;61;reviewed;us;us
2021-11-03T00:50:35.771Z;0.9206;98.5198;64.77;5.1;mb;;50;1.018;1.06;us;us7000fqzz;2022-01-14T17:58:55.040Z;95 km SSW of Sibolga, Indonesia;earthquake;5;5.2;0.054;114;reviewed;us;us
2021-11-01T17:04:16.557Z;0.2081;96.709;8;5.86;mb;;17;1.391;1;us;us7000fqjc;2022-01-14T17:58:50.040Z;253 km S of Sinabang, Indonesia;earthquake;7.2;1.7;0.047;44;reviewed;us;us
2021-10-15T23:17:27.891Z;-4.9203;102.9791;59.39;5;mb;;50;0.556;0.77;us;us6000fv2g;2021-12-25T22:58:36.040Z;103 km SSW of Pagar Alam, Indonesia;earthquake;6.7;5.9;0.066;73;reviewed;us;us
2021-10-08T10:04:53.362Z;4.4134;95.433;61.14;5.2;mb;;53;1.712;0.57;us;us6000fsxi;2021-12-18T19:58:38.040Z;82 km WNW of Meulaboh, Indonesia;earthquake;7.4;5.7;0.047;153;reviewed;us;us
2021-09-14T20:13:55.488Z;2.9309;95.3897;22;5.16;mb;;24;2.717;0.73;us;us7000fb5s;2021-11-23T15:12:03.040Z;120 km WNW of Sinabang, Indonesia;earthquake;6.6;1.7;0.08;15;reviewed;us;us
2021-08-02T23:01:01.149Z;-3.1615;100.4063;10;5.2;mb;;50;2.809;0.87;us;us6000f1ny;2021-10-14T01:05:55.040Z;164 km SW of Sungai Penuh, Indonesia;earthquake;6.2;1.7;0.058;100;reviewed;us;us
2021-08-02T22:48:50.780Z;-3.2114;100.1976;20;5.66;mb;;41;2.979;0.81;us;us6000f1nr;2021-10-14T01:05:53.040Z;184 km SW of Sungai Penuh, Indonesia;earthquake;3.5;1.8;0.086;13;reviewed;us;us
2021-07-10T02:41:09.501Z;1.8228;96.9785;17.35;5.4;mb;;36;0.788;0.87;us;us6000etz0;2021-09-17T22:49:15.040Z;98 km SE of Sinabang, Indonesia;earthquake;5.7;3.2;0.041;204;reviewed;us;us
2021-06-27T15:56:12.192Z;-2.8938;101.0849;40.3;5.1;mb;;55;2.368;0.62;us;us6000eq9y;2021-09-09T22:05:24.040Z;98 km SSW of Sungai Penuh, Indonesia;earthquake;5.9;4.4;0.055;108;reviewed;us;us
2021-06-19T21:12:15.554Z;-4.56;102.6323;56.2;5.2;mb;;27;0.378;0.57;us;us7000eehm;2021-08-27T18:57:39.040Z;90 km SW of Pagar Alam, Indonesia;earthquake;6.6;4.5;0.043;176;reviewed;us;us
2021-06-15T14:16:14.774Z;-4.2753;102.4086;61.49;5.2;mb;;48;0.552;0.66;us;us7000ed89;2021-08-26T21:59:23.040Z;54 km SSE of Bengkulu, Indonesia;earthquake;5.2;5.4;0.059;100;reviewed;us;us
2021-06-10T10:12:47.163Z;-4.8293;102.9678;59.31;5.1;mb;;54;0.465;0.83;us;us7000ebnu;2021-08-24T21:33:43.040Z;94 km SSW of Pagar Alam, Indonesia;earthquake;6.7;3.1;0.057;102;reviewed;us;us
2021-05-22T08:25:48.262Z;-5.8666;101.7682;10;5;mb;;98;1.907;0.66;us;us7000e5a1;2021-07-31T22:08:28.040Z;235 km SSW of Bengkulu, Indonesia;earthquake;6.1;1.9;0.078;53;reviewed;us;us
2021-05-14T06:33:07.879Z;0.1364;96.6442;11;6.55;mb;;37;1.487;0.69;us;us7000e2zt;2022-08-09T05:03:30.990Z;260 km S of Sinabang, Indonesia;earthquake;7.7;1.8;0.048;42;reviewed;us;us
2021-05-05T01:24:36.225Z;-1.9554;99.7862;30;5.56;mb;;18;3.92;0.83;us;us7000e07p;2021-07-10T20:15:27.040Z;127 km SSW of Padang, Indonesia;earthquake;7.3;1.8;0.062;25;reviewed;us;us
2021-05-02T17:46:41.047Z;-2.3244;99.79;21;5.36;mb;;46;2.914;1.09;us;us7000dziv;2021-07-10T20:15:02.040Z;Kepulauan Mentawai region, Indonesia;earthquake;7.4;1.8;0.066;22;reviewed;us;us
2021-04-19T23:58:22.503Z;0.1831;96.5601;9;5.96;mb;;28;1.506;0.97;us;us6000e30x;2021-07-03T16:48:34.040Z;254 km S of Sinabang, Indonesia;earthquake;6.9;1.6;0.039;64;reviewed;us;us
2021-04-14T10:55:14.687Z;0.1975;96.6432;8.99;5.46;mb;;44;1.441;0.55;us;us6000e1g3;2021-06-19T21:25:35.040Z;254 km S of Sinabang, Indonesia;earthquake;5.3;2.6;0.065;23;reviewed;us;us
2021-03-29T04:13:18.616Z;-4.5491;102.6262;59.62;5.2;mb;;59;0.378;0.84;us;us6000dxb7;2021-06-08T17:59:01.040Z;90 km SW of Pagar Alam, Indonesia;earthquake;7.2;5.2;0.056;106;reviewed;us;us
2021-03-05T07:32:55.148Z;-1.7567;99.2329;25;5.46;mb;;135;2.746;0.71;us;us7000dfw2;2021-05-21T19:46:40.040Z;153 km SW of Padang, Indonesia;earthquake;6.6;1.9;0.098;10;reviewed;us;us
2021-02-15T04:57:13.303Z;1.0728;98.8358;68.92;5;mb;;44;1.28;0.94;us;us6000dhqv;2021-04-23T21:04:38.040Z;59 km SW of Padangsidempuan, Indonesia;earthquake;5.4;4.5;0.073;61;reviewed;us;us
2021-02-10T12:52:27.224Z;-5.6856;101.6495;10;6.15;mb;;29;1.851;0.5;us;us6000dg70;2021-09-08T06:07:56.801Z;219 km SSW of Bengkulu, Indonesia;earthquake;6.7;1.8;0.037;69;reviewed;us;us
2021-02-10T10:21:32.622Z;-5.6388;101.6825;10;5;mb;;83;1.794;0.47;us;us6000dg6b;2021-04-22T21:52:19.040Z;213 km SSW of Bengkulu, Indonesia;earthquake;7.2;1.8;0.069;68;reviewed;us;us
2021-02-10T10:15:34.561Z;-5.6093;101.6854;10;5.2;mb;;41;1.772;0.59;us;us6000dg6a;2021-04-22T21:52:19.040Z;210 km SSW of Bengkulu, Indonesia;earthquake;4.8;1.7;0.073;61;reviewed;us;us
2021-01-24T13:03:29.349Z;-4.4396;102.533;54.96;5.1;mb;;84;0.428;0.56;us;us7000d2wn;2021-04-13T17:07:24.040Z;76 km SSE of Bengkulu, Indonesia;earthquake;6.9;4.9;0.067;71;reviewed;us;us
2021-01-06T17:28:35.120Z;-4.3366;102.6881;58.04;5.36;mb;;27;0.267;1.02;us;us6000d672;2021-03-13T22:59:36.040Z;70 km WSW of Pagar Alam, Indonesia;earthquake;6.1;3.4;0.078;16;reviewed;us;us
2020-12-23T22:19:53.350Z;-4.4368;101.0761;10;5.2;mb;;39;1.875;0.63;us;us6000d2c8;2021-03-06T23:18:03.040Z;149 km WSW of Bengkulu, Indonesia;earthquake;6.5;1.8;0.064;82;reviewed;us;us
2020-11-30T17:14:12.006Z;3.067;96.1349;27.89;5;mb;;59;2.267;0.75;us;us7000cl7y;2021-02-06T18:29:19.040Z;70 km NNW of Sinabang, Indonesia;earthquake;7.2;4.9;0.067;71;reviewed;us;us
2020-11-29T14:48:27.981Z;-5.0092;102.93;55.23;5.2;mb;;52;0.644;0.75;us;us7000ckwi;2021-02-06T18:28:58.040Z;114 km SSW of Pagar Alam, Indonesia;earthquake;6.2;5.4;0.059;94;reviewed;us;us
2020-11-18T04:41:55.825Z;-1.8125;100.4271;15.62;5.07;mb;;27;2.21;0.82;us;us6000cpq3;2021-02-03T17:50:55.040Z;95 km S of Padang, Indonesia;earthquake;6.4;3;0.093;11;reviewed;us;us
2020-11-17T01:44:11.421Z;-2.6706;99.3227;19;5.86;mb;;23;3.436;0.58;us;us7000cfxq;2021-12-03T12:25:50.449Z;222 km SSW of Padang, Indonesia;earthquake;7.2;1.7;0.051;37;reviewed;us;us
2020-10-19T09:42:53.479Z;-3.3354;100.3183;19.29;5.1;mb;;65;2.821;0.62;us;us6000c9dx;2020-12-29T23:07:39.040Z;185 km SW of Sungai Penuh, Indonesia;earthquake;5.9;3.5;0.088;42;reviewed;us;us
2020-10-19T07:47:21.835Z;-3.3848;100.3604;17.03;5.36;mb;;29;2.764;0.67;us;us6000c9cs;2022-03-10T05:43:02.545Z;186 km SW of Sungai Penuh, Indonesia;earthquake;6.4;3.4;0.078;16;reviewed;us;us
2020-10-19T07:31:30.626Z;-3.3684;100.2706;20;5.46;mb;;31;2.854;0.64;us;us6000c9ci;2022-03-10T05:42:43.778Z;191 km SW of Sungai Penuh, Indonesia;earthquake;6.1;1.8;0.058;29;reviewed;us;us
2020-10-18T22:48:50.249Z;-3.4021;100.2732;10;5.1;mb;;58;2.84;0.76;us;us6000c99g;2020-12-29T23:07:36.040Z;193 km SW of Sungai Penuh, Indonesia;earthquake;6.7;1.8;0.069;69;reviewed;us;us
2020-10-17T17:56:23.873Z;-3.2733;100.4042;10;5.2;mb;;69;2.765;0.93;us;us6000cbc9;2020-12-29T23:07:32.040Z;173 km SW of Sungai Penuh, Indonesia;earthquake;8.2;1.8;0.085;49;reviewed;us;us
2020-10-17T17:55:00.713Z;-3.2572;100.3043;23.44;5.07;mb;;46;2.863;0.75;us;us6000c90z;2020-12-29T23:07:32.040Z;179 km SW of Sungai Penuh, Indonesia;earthquake;6.1;4.2;0.075;17;reviewed;us;us
2020-10-15T09:41:16.989Z;-3.1911;100.3854;19;5.07;mb;;44;2.815;0.94;us;us6000c8hc;2020-12-29T23:07:23.040Z;168 km SW of Sungai Penuh, Indonesia;earthquake;6.9;1.7;0.065;23;reviewed;us;us
2020-09-08T04:37:02.589Z;-1.14;98.4985;10;5;mb;;94;2.597;0.74;us;us7000bjjb;2020-11-17T19:44:54.040Z;189 km WSW of Pariaman, Indonesia;earthquake;6.6;1.6;0.09;39;reviewed;us;us
2020-09-03T16:02:55.155Z;-4.4773;102.5889;54.02;5.3;mb;;34;0.383;0.85;us;us7000bh8s;2020-11-17T19:44:27.040Z;83 km SSE of Bengkulu, Indonesia;earthquake;6.8;4.1;0.047;152;reviewed;us;us
2020-08-24T10:24:32.414Z;-4.0266;101.0051;10;5;mb;;71;1.973;0.72;us;us6000bjp7;2020-10-31T19:06:22.040Z;142 km W of Bengkulu, Indonesia;earthquake;7.1;1.8;0.074;58;reviewed;us;us
2020-08-22T00:39:35.576Z;-4.0808;100.9938;21;5.36;mb;;30;1.976;0.8;us;us6000biub;2020-10-31T19:06:15.040Z;144 km WSW of Bengkulu, Indonesia;earthquake;6.5;1.7;0.073;18;reviewed;us;us
2020-08-18T22:39:08.354Z;-4.4556;100.9629;15.2;5;mb;;204;1.989;0.59;us;us7000bcme;2020-10-24T20:09:13.040Z;161 km WSW of Bengkulu, Indonesia;earthquake;11.9;6.4;0.2;8;reviewed;us;us
2020-08-18T22:29:24.731Z;-4.2069;101.2411;26;6.75;mb;;25;1.716;0.81;us;us6000bgvu;2021-11-26T12:23:10.304Z;122 km WSW of Bengkulu, Indonesia;earthquake;6.6;1.8;0.033;86;reviewed;us;us
2020-08-18T22:23:59.497Z;-4.3217;101.1347;22;6.65;mb;;34;1.816;0.91;us;us6000bgvl;2020-10-24T20:09:05.040Z;138 km WSW of Bengkulu, Indonesia;earthquake;7.3;1.8;0.063;24;reviewed;us;us
